"filename", "language", "TypeScript", "vue", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\App.vue", "vue", 0, 4, 0, 0, 0, 2, 6
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\assets\quasar-logo-vertical.svg", "XML", 0, 0, 0, 15, 0, 1, 16
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\boot\axios.ts", "TypeScript", 13, 0, 0, 0, 11, 7, 31
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\boot\i18n.ts", "TypeScript", 18, 0, 0, 0, 8, 8, 34
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\components\EssentialLink.vue", "vue", 0, 24, 0, 0, 0, 4, 28
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\components\ExampleComponent.vue", "vue", 0, 32, 0, 0, 0, 7, 39
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\components\models.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\composables\use-alist.ts", "TypeScript", 137, 0, 0, 0, 1, 14, 152
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\composables\use-webdav.ts", "TypeScript", 7, 0, 0, 0, 1, 2, 10
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\css\app.scss", "SCSS", 0, 0, 8, 0, 1, 2, 11
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\css\quasar.variables.scss", "SCSS", 0, 0, 9, 0, 10, 7, 26
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\env.d.ts", "TypeScript", 7, 0, 0, 0, 1, 2, 10
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\i18n\en-US\index.ts", "TypeScript", 4, 0, 0, 0, 2, 2, 8
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\i18n\index.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 6
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\layouts\MainLayout.vue", "vue", 0, 35, 0, 0, 0, 9, 44
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\pages\ErrorNotFound.vue", "vue", 0, 20, 0, 0, 0, 4, 24
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\pages\IndexPage.vue", "vue", 0, 35, 0, 0, 0, 3, 38
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\pages\ToolPage.vue", "vue", 0, 579, 0, 0, 0, 22, 601
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\quasar.d.ts", "TypeScript", 0, 0, 0, 0, 8, 2, 10
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\router\index.ts", "TypeScript", 21, 0, 0, 0, 11, 7, 39
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\router\routes.ts", "TypeScript", 16, 0, 0, 0, 2, 4, 22
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\shims-vue.d.ts", "TypeScript", 5, 0, 0, 0, 3, 3, 11
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\stores\example-store.ts", "TypeScript", 14, 0, 0, 0, 0, 2, 16
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\stores\index.ts", "TypeScript", 12, 0, 0, 0, 15, 6, 33
"c:\Users\jwyh\Documents\code\dreamship-app-gallery\src\stores\store-flag.d.ts", "TypeScript", 6, 0, 0, 0, 3, 2, 11
"Total", "-", 271, 729, 17, 15, 77, 126, 1235